property_name,property_type,property,website,address,phone_number,developer,manager,owner,property_type_2,property_status,product_type,property_rating,comp_status,year_built_renovated,most_recent_sale,distance_from_campus,address_line_2
1047 Commonwealth Avenue,Property,1047 Commonwealth,http://www.1047commonwealth.com/,"1047 Commonwealth Ave, Boston, MA 02215",617-500-6481,BPDA,GMH Communities,AGC + GMH Communities,Student,Operational,Mid-Rise,2,Subject Property,2017,2019-01-01,0.1 Miles,NA
1330 Boylston,Competitor,1330 Boylston,NA,"1330 Boylston St, Boston, MA 02215",(617) 267-1330,Samuels and Associates,Samuels and Associates,Samuels and Associates,Conventional,Operational,High-Rise,5,Tier 2,2008,NA,1 mile,NA
Van Ness,Competitor,Van Ness,NA,"1335 Boylston St, Boston, MA, 02215",617-424-1335,Samuels And Associates,Samuels And Associates,Samuels And Associates,Conventional,Operational,High-Rise,4,Tier 2,2015,NA,1 Miles,NA
Bower,Competitor,Bower,NA,"771 Beacon St Apartment 775, Boston, MA 02215",(617) 341-9700,The Green Cities Company,Greystar,Greystar,Conventional,Operational,High-Rise,5,Tier 2,2020,NA,0.2 miles,NA
Academy 65,Property,Academy 65,http://www.academy65.com/,1325 65th St,916-527-1325,NA,GMH Communties,GMH Captial Partners,Student,Operational,Mid-Rise,4,Subject Property,2019,NA,0.25 Miles,"Sacramento CA, 95819"
Hornet Commons,Competitor,Hornet Commons,NA,3001 State University Dr,916 573-6205,NA,Greystar,NA,Student,Operational,Mid-Rise,3,Tier 1,2021,NA,0.6 Miles,"Sacramento, CA 95826"
Wexler,Competitor,Wexler,NA,"1500 67th St,",916 400-3499,NA,Asset Living,NA,Student,Operational,Mid-Rise,4,Tier 1,2022,NA,0.7 Miles,"Sacramento, CA 95819"
The Lark,Competitor,The Lark,NA,3075 Redding Ave,916 587-1700,The Scion Group,The Scion Group,The Scion Group LLC,Student,Operational,Garden,4,Tier 1,2016,NA,1 Miles,"Sacramento, CA 95820"
The Crossings,Competitor,The Crossings,NA,2920 Ramona Ave,916 226-3439,NA,Student Quarters,NA,Student,Operational,Mid-Rise,3,Tier 1,2018,NA,1.1 Miles,"Sacramento, CA 95826"
The Element,Competitor,The Element,NA,6730 4th Ave,916 736-2069,NA,Book N Ladder,NBPC,Student,Operational,Garden,2,Tier 1,2004,2016-12-01,1 Mile,"Sacramento, CA 95819"
The Academy at Frisco,Property,Academy at Frisco,NA,413 N. West Ave.,479-935-8888,NA,GMH,GMH/Principal,Student,Operational,High-Rise,3,Subject Property,2008,NA,0.1 Miles,"Fayetteville, AR 72701"
The Retreat,Competitor,The Retreat,NA,1369 Stadium Dr.,479-339-0450,Landmark,Landmark,Landmark,Student,Operational,Garden,5,Direct,2023,NA,0.2 Miles,"Fayetteville, AR 72701"
The Cardinal at West Center,Competitor,The Cardinal at West Center,NA,831 W Center St.,479-225-9659,Capstone,CREI,CREI,Student,Operational,High-Rise,3,Direct,2014,NA,0 Miles,"Fayetteville, AR 72701"
Atmosphere,Competitor,Atmosphere,NA,22 S Duncan Ave,479-225-9250,Scion,Scion,Scion,Student,Operational,Mid-Rise,4,Direct,2016,NA,0.1 Miles,"Fayetteville, AR 72701"
University House,Competitor,University House,NA,1801 W Diamond Dr.,479-935-4111,NA,Scion,Scion,Student,Operational,Garden,4,Direct,2013,2022-06-01,.75 Miles,"Fayetteville, AR 72701"
Hill Place,Competitor,Hill Place,NA,754 S. Royal Oak Parkway,501-708-2777,Peak Campus,Cardinal Group,Cardinal Group,Student,Operational,Garden,3,Direct,2009,NA,0 Miles,"Fayetteville, AR 72701"
The Younion,Competitor,The Younion,NA,376 W Watson St.,479-439-9351,Sterling Group,Asset,Asset,Student,Operational,High-Rise,4,Direct,2016,NA,0.02 Miles,"Fayetteville, AR 72701"
The Locale,Competitor,The Locale,NA,1223 Haven Dr.,479-935-2951,Landmark,Student Quarters,Student Quarters,Student,Operational,High-Rise,3,Direct,2018,NA,0.3 Miles,"Fayetteville, AR 72701"
Academy Lincoln,Property,Academy Lincoln,http://www.academylincoln.com/,1850 P St,402-858-9334,Aspen Heights,GMH Communities,GMH & AGC,Student,Operational,Mid-Rise,3,Subject Property,2016,2018-12-21,0.5 miles,NA
8N Lofts,Competitor,8N Lofts,NA,811 N St,402-623-6348,Trinitas,Scion,Scion,Student,Operational,Mid-Rise,3,Tier 1,2016,2018-01-01,1.1 Miles,NA
Latitude,Competitor,Latitude,NA,235 S 11th St,402-507-4539,CA Ventures,CA Ventures,CA Ventures,Student,Operational,Mid-Rise,3,Tier 1,2015,NA,1 Mile,NA
LivRed,Competitor,LivRed,NA,921 M St,402-407-8800,Campion,Tailwind Group,Tailwind Group,Student,Operational,Mid-Rise,4,Tier 1,2022,NA,0.8 Miles,NA
Atmosphere,Competitor,Atmosphere,NA,909 Q St,402-817-1964,Trinitas Ventures,Trinitas Ventures,Trinitas Ventures,Student,Operational,Mid-Rise,4,Tier 1,2023,NA,0 Miles,NA
50-50,Competitor,50-50,NA,1801 R Street,402-205-4888,Burlington Capital Properties,Burlington Capital Properties,Burlington Capital Properties,Student,Operational,Mid-Rise,2,Tier 1,2014,NA,0 Miles,NA
Dean Reno,Competitor,Dean Reno,http://www.thedeanreno.com/,1475 N. Virginia St.,775-320-3326,CRG,GMH Communities,GMH Communities,Student,Operational,High-Rise,5,Subject Property,2022,NA,0 Miles,NA
Park Place,Competitor,Park Place,NA,1651 N Virginia St.,(775) 446-0200,NA,Park 7 Group,Park 7 Group,Student,Operational,Mid-Rise,4,Tier 1,2021,NA,0 Miles,"Reno NV, 89503"
HERE Reno,Competitor,HERE Reno,NA,"298 E 9th Street, Reno",775-200-9205,NA,CA Ventures,CA Ventures,Student,Operational,Mid-Rise,3,Tier 1,2022,NA,0 Miles,NA
1551 Reno,Competitor,1551 Reno,NA,1505 N Virginia St,(775) 433-0797,NA,Greystar,CA Ventures,Student,Operational,Mid-Rise,2,Tier 1,2017,NA,0 Miles,NA
Uncommon Reno,Competitor,Uncommon Reno,NA,1551 N. Virginia Street,775-386-6390,NA,CA Student Living,CA Ventures,Student,Operational,Mid-Rise,3,Tier 1,2020,NA,0 Miles,NA
SAGA Reno,Competitor,SAGA Reno,NA,2780 Enterprise Rd.,775-502-1501,NA,Landmark,Landmark,Student,Operational,Garden,2,Tier 2,2016,NA,1 Miles,NA
Greenleaf Republic,Competitor,Greenleaf Republic,NA,1550 Evans Ave. Reno,(775) 624-7095,NA,The Green Leaf,The Green Leaf,Student,Operational,Garden,3,Tier 2,2014,NA,1 Miles,NA
Canyon Flats,Competitor,Canyon Flats,NA,661 N Center St. Reno,(888) 871-1643,NA,Peak Made,Artisan Capitial,Student,Operational,Mid-Rise,1,Tier 2,2020,NA,1 Miles,NA
Rise at Northgate,Competitor,Rise at Northgate,http://www.riseatnorthgate.com/,717 University Drive,979-260-7473,Linbeck,GMH Associates,GMH Associates,Student,Operational,High-Rise,3,Subject Property,2013/2015,2015-07-07,<0.1 Miles,"College Station TX, 77840"
The Standard,Competitor,The Standard,https://thestandardcollegestation.landmark-properties.com/,315 Boyett Street,855-699-3050,unknown,Landmark,Landmark,Student,Operational,Mid-Rise,3,Tier 1,2016,NA,0.32,"College Station, TX 77840"
The Hudson,Competitor,The Hudson,NA,410 Stasney Street,979-314-2877,unknown,Student Quarters,Student Quarters,Student,Operational,Mid-Rise,3,Tier 1,2018,NA,1.1 Miles,"College Station, TX 77840"
The Stack,Competitor,The Stack,NA,711 Church Avenue,979-314-7665,Unknown,Asset Living,Asset Living,Student,Operational,Mid-Rise,2,Tier 1,2013,NA,0.3 Miles,"College Station TX, 77840"
UCentre at Northgate,Competitor,UCentre at Northgate,NA,907 Cross Street,979-220-5600,Didnâ€™t know,ACC,ACC,Student,Operational,Garden,4,Tier 1,2014/2015,NA,0.5 Miles,"College Station, TX 77840"
Aspire,Competitor,Aspire,NA,711 University Drive,979-316-2853,Unknown,The Dinerstein Companies,The Dinerstein Companies,Student,Operational,High-Rise,4,Tier 1,2018,NA,0.1 Miles,"College Station TX, 77840"
The Rev,Competitor,The Rev,NA,315 College Main Street Suite 110,979-589-7141,unknown,Cardinal Group,Cardinal Group,Student,Operational,High-Rise,5,Tier 1,2022/2023,NA,0.5 Miles,"College Station, TX 77840"
The Otto,Competitor,The Otto,NA,401 First St.,979-690-8100,Unknown,Cardinal Group,Cardinal Group,Student,New Construction,Mid-Rise,5,Tier 1,2023/2024,NA,0.6 Miles,"College Station TX, 77840"
Shortbread Lofts,Property,Shortbread Lofts,http://www.shortbreadlofts.com/,333 West Rosemary st.,919-904-7640,Larry Short,GMH Communitites,Prinicpal,Student,Operational,Mid-Rise,4,Subject Property,2014,2016-01-01,0 Miles,"Chapel Hill, NC 27516"
Lark,Competitor,Lark,NA,602 MLK Jr. Blvd,919-590-5000,Trinatas Ventures,Scion,Scion,Student,Operational,High-Rise,4,Tier 1,2015,2017-01-01,.8 Miles,"Chapel Hill, NC"
Carolina Square,Competitor,Carolina Square,NA,133 West Frankllin St.,919-914-6267,Norwood Raven,Norwood Raven,Norwood Raven,Conventional,Operational,Mid-Rise,4,Tier 2,2017,2016-01-01,0 Miles,"Chapel Hill, NC"
Union,Competitor,Union,NA,425 Hillsborough St,984-364-4909,Greystar,Greystar,Greystar,Student,Operational,Mid-Rise,4,Tier 1,2020,NA,.8 Miles,"Chapel Hill, NC"
Warehouse,Competitor,Warehouse,NA,316 West Rosemary st.,919-849-8397,Larry Short,Priess,Priess,Student,Operational,Mid-Rise,4,Tier 1,2019,2019-01-01,.4Miles,Chapel Hill
The Edition,Competitor,The Edition,NA,322 W. Rosemary st,984-205-6368,Priess,Priess,Priess,Student,New Construction,Mid-Rise,5,Tier 1,2023,NA,0 Miles,"Chapel Hill, NC"
SOVA,Property,SOVA,NA,3021 Hidden Forest Court,888.910.2775,NA,GMH Communities,CBRE & GMH,Student,Operational,Mid-Rise,4,Direct,2018,NA,1.7,"Marietta, GA 30066"
The Retreat,Competitor,The Retreat,NA,NA,678-562-8731,NA,Landmark,NA,NA,Operational,Cottage,4,Direct,2021,NA,2 Miles,NA
The Indy,Competitor,The Indy,NA,3011 Hidden Forest Ct,678-379-5747,Cesper Holdings,Campus Life & Style,NA,Student,Operational,Mid-Rise,4,Direct,2020,NA,1.8,"Marietta, GA 30066"
Bixby,Competitor,Bixby,NA,3061 George Busbee Pkwy NW,678-804-8589,NA,PeakMade,NA,Student,Operational,Mid-Rise,4,Direct,2020,NA,1 Mile,"Kennesaw, GA 30144"
The Blake,Competitor,The Blake,NA,3453 Busbee Dr NW,770-835-4284,NA,GreyStar,NA,Student,Operational,Mid-Rise,NA,NA,2013,NA,0 Miles,"Kennesaw,GA 30144"
The Academy on Charles,Property,The Academy on Charles,http://www.theacademyoncharles.com/,3700 North Charles,443-563-2231,Unknown,GMH Communities,The Johns Hopkins University,Student,Operational,High-Rise,5,Subject Property,1933/2014,2023-10-13,1 Miles,"Baltimore,MD 21218"
Nine East 33rd,Competitor,Nine East 33rd,NA,"9 E 33rd St,",(410) 235-0947,Armada Hoffler Construction,HH Fund,HH Fund,Student,Operational,High-Rise,5,Tier 1,2016,2021-12-01,0 Miles,"Baltimore, MD 21218"
Social at North Charles,Competitor,Social at North Charles,NA,3900 North Charles Street,888-584-1161,NA,Trinity Property Consultants,Trinity Property Consultants,Student,Operational,High-Rise,2,Tier 1,1966,2018-04-11,1,"Baltimore, MD 21218"
The Dean Campustown,Property,The Dean Campustown,http://www.thedean.com/campustown/,708 S 6th St,217-689-1111,Core Spaces,GMH Communities,AGC & GMH Communites,Student,Operational,High-Rise,4,Subject Property,2020,NA,0 Miles,"Champaign, IL 61820"
HUB Champaign,Competitor,HUB Champaign,NA,812 S 6th St,217-318-5771,Core Spaces,Core Campus,Core Campus,Student,Operational,High-Rise,4,Tier 1,2021,NA,0 Miles,"Champaign, IL 61820"
Seven07,Competitor,Seven07,NA,707 S 4 St,217-294-6260,NA,Cardinal Group,NA,Student,Operational,High-Rise,3,Tier 1,2019,NA,0 Miles,"Champaign, Il 61820"
HERE Champaign,Competitor,HERE Champaign,NA,308 E Green St,217-689-1572,NA,CA Management Servics,NA,Student,Operational,High-Rise,3,Tier 1,2015,NA,0 Miles,"Chmpaign, IL 61820"
212 East,Competitor,212 East,NA,212 E Green St,217-318-5778,NA,Campus Advantage,NA,Student,Operational,Mid-Rise,3,Tier 1,2017,NA,0 Miles,"Champaign, IL 61820"
309 Green,Competitor,309 Green,NA,309 E Green St,217-366-3500,NA,ACC,NA,Student,Operational,High-Rise,3,Tier 1,2008,NA,0 Miles,"Champaign, IL 61820"
Torre,Property,Torre,http://www.torreatx.com/,"2020 Nueces St, Austin TX 78705",512-790-2020,Parallel,GMH Communities,GMH Communities,Student,Operational,High-Rise,5,Subject Property,2020,NA,0.5 Miles (to UT Tower),NA
Lark,Competitor,Lark,NA,"2100 Nueces St, Austin, TX 78705",(512) 366-5664,Parallel,Scion,Scion,Student,Operational,High-Rise,4,Tier 1,2019,NA,0.5 Miles (to UT Tower),NA
Ion,Competitor,Ion,NA,"2100 San Antonio St, Austin, TX 78705",(512) 370-2700,Parallel,Scion,Scion,Student,Operational,High-Rise,4,Tier 1,2017,NA,0.4 Miles  (to UT Tower),NA
Moontower,Competitor,Moontower,NA,"2204 San Antonio St, Austin, TX 78705",(512) 599-9640,"JE Dunn Construction, Gensler, Datum Engineers, Quest Group, Chelsea Kloss Interiors",Landmark,Ocean West,Student,Operational,High-Rise,4,Tier 1,2020,NA,0.4 Miles  (to UT Tower),NA
Waterloo,Competitor,Waterloo,NA,"2400 SETON AVE. Austin, TX 78705",(512) 980-1687,LV Collective,Campus Advantage,GSA,Student,Operational,High-Rise,4,Tier 1,2021,NA,0.3 Miles (to UT Tower),NA
Rise West Campus,Competitor,Rise West Campus,NA,"2206 Nueces, Austin, TX 78705",(737) 213-1268,Quadreal,Article Student Living,Quadreal,Student,Operational,High-Rise,4,Tier 1,2023,NA,0.4 Miles  (to UT Tower),NA
Rambler,Competitor,Rambler,NA,"2513 Seton Ave, Austin, TX 78705",(512) 722-7733,LV Collective,Asset Living,LV Collective,Student,Operational,Mid-Rise,4,Tier 1,2023,NA,0.8 Miles (to UT Tower),NA
Signature,Competitor,Signature,NA,"1909 Rio Grande St, Austin, TX 78705",(512) 234-4888,Nuveen,Preiss,"THP West Campus, LLC",Student,Operational,High-Rise,3,Tier 1,2018,NA,0.5 Miles (to UT Tower),NA
Villas on Rio,Competitor,Villas on Rio,NA,"2111 Rio Grande Austin, TX 78705",(833) 429-2949,Zucker Brothers,Peak Campus,Blue Vista/Koramco Asset,Student,Operational,High-Rise,5,Tier 1,2020,NA,0.5 Miles (to UT Tower),NA
Venue at North Campus,Property,Venue at North Campus,NA,13702 N 24nd St,813-443-8240,NA,GMH Communities,GMH/CBRE,Student,Operational,Mid-Rise,3,Subject Property,2012,2023-10-26,.02 Miles,Tampa Fl 33613
4050 Lofts,Competitor,4050 Lofts,NA,4050 Rocky Ccir,813-666-8936,NA,Campus Life & Style,Campus Life & Style,Student,Operational,Mid-Rise,3,Direct,2009,2020-02-07,0.71 Miles,Tampa Fl 33613
Station 42,Competitor,Station 42,NA,4201 Monticello Gardens Pl,813-498-0547,NA,Peak Campus,Peak Campus,Student,Operational,Wrap,3,Direct,2004,NA,0.77 Miles,Tampa FL 33613
Lark on 42nd,Competitor,Lark on 42nd,NA,14202 N 42nd St,850-467-9722,NA,The Scion Group,The Scion Group,Student,Operational,Mid-Rise,4,Direct,2016,NA,0.79 miles,Tampa Fl 33613
42 North,Competitor,42 North,NA,14502 Valor Circle,813-514-4242,NA,CORE Spaces,CORE Spaces,Student,Operational,Garden,3,Direct,1998,NA,0.97,Tampa Fl 33613
Avalon Heights,Competitor,Avalon Heights,NA,13508 Avalon Heights Blvd,8138668888,NA,American Campus Communities,American Campus Communities,Student,Operational,Wrap,3,Direct,2001,NA,0.62 Miles,Tampa Fl 33613
The Province,Competitor,The Province,NA,10921 N McKinley Dr,8139770666,NA,American Campus Communities,American Campus Communities,Student,Operational,Wrap,3,Direct,2009,NA,0.74 miles,Tampa Fl 33613
On50,Competitor,On50,NA,5001 Excellence Blvd,813-280-0112,NA,Campus Life & Style,Vesper Holdings,Student,Undergoing Renovations,Garden,2,Direct,1994,NA,0.07 Miles,Tampa FL 33613
The Retreat,Competitor,The Retreat,NA,11336 N 46th Street,813-851-0599,NA,Landmark,Landmark,Student,Operational,Cottage,3,Direct,2017,NA,0.61 Miles,Tampa Fl 33613
