report_date,property_id,property_name,unit_type,total_units,excluded_units,rentable_units,available_units,avg_scheduled_charges,current_occupied,current_occupancy,current_total_new,current_total_renewals,current_total_leases,current_preleased_percent,prior_total_new,prior_total_renewals,prior_total_leases,prior_preleased_percent,yoy_variance_count,yoy_variance_percent
2025-02-14,739085,1047 Commonwealth Avenue,S2,12,0,12,12,2928.125,11,0.9166666666666666,1,5,6,0.5,0,4,4,0.3333333333333333,2,0.16666666666666669
2025-02-14,739085,1047 Commonwealth Avenue,S3,51,0,51,51,2612.6923076923076,48,0.9411764705882353,0,10,10,0.19607843137254902,0,11,11,0.21568627450980393,-1,-0.019607843137254916
2025-02-14,739085,1047 Commonwealth Avenue,S4,8,0,8,8,3006.25,8,1,3,1,4,0.5,1,2,3,0.375,1,0.125
2025-02-14,739085,1047 Commonwealth Avenue,S5,10,0,10,10,3100,10,1,0,3,3,0.3,0,4,4,0.4,-1,-0.10000000000000003
2025-02-14,739085,1047 Commonwealth Avenue,S6,29,0,29,29,3329.1666666666665,29,1,1,5,6,0.20689655172413793,7,7,14,0.4827586206896552,-8,-0.27586206896551724
2025-02-14,739085,1047 Commonwealth Avenue,S7,4,0,4,4,3370,3,0.75,0,1,1,0.25,0,1,1,0.25,0,0
2025-02-14,739085,1047 Commonwealth Avenue,S8,11,0,11,11,3325,5,0.45454545454545453,0,1,1,0.09090909090909091,0,2,2,0.18181818181818182,-1,-0.09090909090909091
2025-02-14,739085,1047 Commonwealth Avenue,S9,5,0,5,5,3950,4,0.8,0,2,2,0.4,0,0,0,0,2,0.4
2025-02-14,833617,The Dean Campustown,A1,14,0,14,14,1862.1875,14,1,10,4,14,1,5,9,14,1,0,0
2025-02-14,833617,The Dean Campustown,A2 Deluxe,28,0,28,28,851.3888888888889,28,1,14,14,28,1,16,12,28,1,0,0
2025-02-14,833617,The Dean Campustown,B1,28,0,28,28,1205.8333333333333,28,1,21,6,27,0.9642857142857143,16,11,27,0.9642857142857143,0,0
2025-02-14,833617,The Dean Campustown,B2,28,0,28,28,1314.1666666666667,28,1,18,9,27,0.9642857142857143,15,12,27,0.9642857142857143,0,0
2025-02-14,833617,The Dean Campustown,B3 XL,56,0,56,56,621.9852941176471,56,1,22,28,50,0.8928571428571429,34,12,46,0.8214285714285714,4,0.07142857142857151
2025-02-14,833617,The Dean Campustown,B4 XL,56,0,56,56,690.8333333333334,56,1,16,38,54,0.9642857142857143,14,34,48,0.8571428571428571,6,0.1071428571428572
2025-02-14,833617,The Dean Campustown,D1,56,0,56,56,986.6666666666666,48,0.8571428571428571,23,18,41,0.7321428571428571,21,13,34,0.6071428571428571,7,0.125
2025-02-14,833617,The Dean Campustown,D2,56,0,56,56,980,55,0.9821428571428571,18,9,27,0.48214285714285715,29,7,36,0.6428571428571429,-9,-0.16071428571428575
2025-02-14,833617,The Dean Campustown,D3,56,0,56,56,1041.9354838709678,53,0.9464285714285714,14,9,23,0.4107142857142857,9,17,26,0.4642857142857143,-3,-0.0535714285714286
2025-02-14,833617,The Dean Campustown,D4,56,0,56,56,1026.5151515151515,56,1,21,7,28,0.5,17,16,33,0.5892857142857143,-5,-0.0892857142857143
2025-02-14,833617,The Dean Campustown,D5,56,0,56,56,1163.8157894736842,55,0.9821428571428571,24,12,36,0.6428571428571429,21,21,42,0.75,-6,-0.1071428571428571
2025-02-14,833617,The Dean Campustown,M1,84,0,84,84,1588.8461538461538,83,0.9880952380952381,17,30,47,0.5595238095238095,12,26,38,0.4523809523809524,9,0.10714285714285715
2025-02-14,833617,The Dean Campustown,S1,42,0,42,42,1597.837837837838,41,0.9761904761904762,8,21,29,0.6904761904761905,12,21,33,0.7857142857142857,-4,-0.09523809523809523
2025-02-14,833617,The Dean Campustown,S2,28,0,28,28,1717.7777777777778,28,1,0,13,13,0.4642857142857143,8,8,16,0.5714285714285714,-3,-0.1071428571428571
2025-02-14,833617,The Dean Campustown,S3 XL,28,0,28,28,704.1176470588235,28,1,6,16,22,0.7857142857142857,4,14,18,0.6428571428571429,4,0.1428571428571428
2025-02-14,952515,SOVA,A1,20,0,20,20,1048.0645161290322,19,0.95,4,17,21,1.05,4,11,15,0.75,6,0.30000000000000004
2025-02-14,952515,SOVA,B1,64,0,64,64,964.1525423728814,64,1,8,39,47,0.734375,24,22,46,0.71875,1,0.015625
2025-02-14,952515,SOVA,B1 ALT,30,0,30,30,944.375,29,0.9666666666666667,1,11,12,0.4,8,14,22,0.7333333333333333,-10,-0.33333333333333326
2025-02-14,952515,SOVA,C1,66,0,66,66,842.7611940298508,66,1,17,35,52,0.7878787878787878,23,25,48,0.7272727272727273,4,0.06060606060606055
2025-02-14,952515,SOVA,D1,308,0,308,308,849.554794520548,308,1,2,116,118,0.38311688311688313,58,102,160,0.5194805194805194,-42,-0.1363636363636363
2025-02-14,952515,SOVA,D2,88,0,88,88,857.7884615384615,88,1,12,31,43,0.48863636363636365,32,31,63,0.7159090909090909,-20,-0.2272727272727273
2025-02-14,952515,SOVA,D3,240,0,240,240,851.0227272727273,239,0.9958333333333333,20,81,101,0.42083333333333334,39,96,135,0.5625,-34,-0.14166666666666666
2025-02-14,1115679,ANOVA uCity Square,A2,17,0,17,17,1409.2222222222222,14,0.8235294117647058,1,4,5,0.29411764705882354,3,1,4,0.23529411764705882,1,0.05882352941176472
2025-02-14,1115679,ANOVA uCity Square,A3,10,0,10,10,713,9,0.9,2,1,3,0.3,4,2,6,0.6,-3,-0.3
2025-02-14,1115679,ANOVA uCity Square,A4,20,0,20,20,555.2380952380952,20,1,2,2,4,0.2,0,2,2,0.1,2,0.1
2025-02-14,1115679,ANOVA uCity Square,A6,5,0,5,5,1211.5,4,0.8,0,0,0,0,2,0,2,0.4,-2,-0.4
2025-02-14,1115679,ANOVA uCity Square,A8,186,0,186,186,922.5320512820513,168,0.9032258064516129,26,27,53,0.2849462365591398,43,10,53,0.2849462365591398,0,0
2025-02-14,1115679,ANOVA uCity Square,B1,11,0,11,11,1681.5,11,1,1,0,1,0.09090909090909091,3,1,4,0.36363636363636365,-3,-0.2727272727272727
2025-02-14,1115679,ANOVA uCity Square,B2,22,0,22,22,1161.3846153846155,20,0.9090909090909091,2,6,8,0.36363636363636365,5,1,6,0.2727272727272727,2,0.09090909090909094
2025-02-14,1115679,ANOVA uCity Square,S1,168,0,168,168,745.1416666666667,159,0.9464285714285714,23,21,44,0.2619047619047619,25,8,33,0.19642857142857142,11,0.0654761904761905
2025-02-14,1143679,Torre,A1,3,0,3,3,1760,3,1,1,2,3,1,2,1,3,1,0,0
2025-02-14,1143679,Torre,A2,1,0,1,1,1440,1,1,0,1,1,1,0,1,1,1,0,0
2025-02-14,1143679,Torre,B1,2,0,2,2,606.6666666666666,2,1,0,0,0,0,2,0,2,1,-2,-1
2025-02-14,1143679,Torre,B2,10,0,10,10,1365,9,0.9,1,1,2,0.2,6,1,7,0.7,-5,-0.49999999999999994
2025-02-14,1143679,Torre,B3,4,0,4,4,1358.3333333333333,3,0.75,1,3,4,1,2,1,3,0.75,1,0.25
2025-02-14,1143679,Torre,B4,2,0,2,2,1400,2,1,0,2,2,1,1,1,2,1,0,0
2025-02-14,1143679,Torre,B5 - SHARED,44,0,44,44,623.2352941176471,43,0.9772727272727273,9,11,20,0.45454545454545453,22,9,31,0.7045454545454546,-11,-0.25000000000000006
2025-02-14,1143679,Torre,B5.2 DELUXE,12,0,12,12,886.6666666666666,6,0.5,4,0,4,0.3333333333333333,2,0,2,0.16666666666666666,2,0.16666666666666666
2025-02-14,1143679,Torre,B6 DELUXE,36,0,36,36,702.5,28,0.7777777777777778,4,8,12,0.3333333333333333,8,7,15,0.4166666666666667,-3,-0.08333333333333337
2025-02-14,1143679,Torre,B7 - SEMI-SHARED,12,0,12,12,767.7777777777778,8,0.6666666666666666,1,7,8,0.6666666666666666,8,0,8,0.6666666666666666,0,0
2025-02-14,1143679,Torre,B8 DELUXE,28,0,28,28,663.75,20,0.7142857142857143,0,2,2,0.07142857142857142,4,2,6,0.21428571428571427,-4,-0.14285714285714285
2025-02-14,1143679,Torre,B9 - SHARED,24,0,24,24,790,24,1,13,10,23,0.9583333333333334,16,6,22,0.9166666666666666,1,0.04166666666666674
2025-02-14,1143679,Torre,C1,3,0,3,3,1615,3,1,0,1,1,0.3333333333333333,2,1,3,1,-2,-0.6666666666666667
2025-02-14,1143679,Torre,C2 - SEMI-SHARED,16,0,16,16,1215,10,0.625,0,1,1,0.0625,2,1,3,0.1875,-2,-0.125
2025-02-14,1143679,Torre,C3,21,0,21,21,1153,21,1,9,11,20,0.9523809523809523,12,7,19,0.9047619047619048,1,0.04761904761904756
2025-02-14,1143679,Torre,D1,28,0,28,28,950,21,0.75,4,0,4,0.14285714285714285,11,3,14,0.5,-10,-0.35714285714285715
2025-02-14,1143679,Torre,D2 - SEMI-SHARED,5,0,5,5,767.5,4,0.8,1,0,1,0.2,3,0,3,0.6,-2,-0.39999999999999997
2025-02-14,1143679,Torre,S1,1,0,1,1,693,1,1,0,1,1,1,0,1,1,1,0,0
2025-02-14,1143679,Torre,S2,14,0,14,14,881.95,14,1,1,13,14,1,5,8,13,0.9285714285714286,1,0.0714285714285714
2025-02-14,1143679,Torre,TH - C1,6,0,6,6,956.6,6,1,0,2,2,0.3333333333333333,0,3,3,0.5,-1,-0.16666666666666669
2025-02-14,1143679,Torre,TH - C2,6,0,6,6,1267.1666666666667,6,1,3,2,5,0.8333333333333334,1,4,5,0.8333333333333334,0,0
2025-02-14,1143679,Torre,TH - C3,3,0,3,3,1150,3,1,3,0,3,1,3,0,3,1,0,0
2025-02-14,1143679,Torre,TH - C3.1,3,0,3,3,1150,3,1,3,0,3,1,0,3,3,1,0,0
2025-02-14,1143679,Torre,TH - C4,12,0,12,12,1190.642857142857,12,1,3,7,10,0.8333333333333334,10,1,11,0.9166666666666666,-1,-0.08333333333333326
2025-02-14,1143679,Torre,TH - D1,56,0,56,56,1176.736111111111,55,0.9821428571428571,33,22,55,0.9821428571428571,36,7,43,0.7678571428571429,12,0.2142857142857142
2025-02-14,1143679,Torre,TH - D1.2,32,0,32,32,1101.8235294117646,32,1,5,18,23,0.71875,17,8,25,0.78125,-2,-0.0625
2025-02-14,1143679,Torre,TH - D2,8,0,8,8,1010.8181818181819,8,1,2,5,7,0.875,2,5,7,0.875,0,0
2025-02-14,1143679,Torre,TH - D3,4,0,4,4,1495,4,1,2,2,4,1,0,4,4,1,0,0
2025-02-14,1143679,Torre,TH - D4 - SEMI-SHARED,10,0,10,10,1372.5,10,1,4,3,7,0.7,10,0,10,1,-3,-0.30000000000000004
2025-02-14,1143679,Torre,TH - D5,16,0,16,16,1204.4761904761904,16,1,6,10,16,1,7,8,15,0.9375,1,0.0625
2025-02-14,1143679,Torre,TH - D6 - SEMI-SHARED,15,0,15,15,1053.25,12,0.8,3,9,12,0.8,4,8,12,0.8,0,0
2025-02-14,1143679,Torre,TH - D8 - SEMI-SHARED,6,0,6,6,0,6,1,0,6,6,1,1,4,5,0.8333333333333334,1,0.16666666666666663
2025-02-14,1143679,Torre,TH - D9,15,0,15,15,1115.5,15,1,9,6,15,1,10,4,14,0.9333333333333333,1,0.06666666666666665
2025-02-14,1143679,Torre,TH - E1,10,0,10,10,1159.1666666666667,10,1,6,3,9,0.9,9,0,9,0.9,0,0
2025-02-14,1143679,Torre,TH - F1,18,0,18,18,1202.5555555555557,18,1,4,3,7,0.3888888888888889,10,3,13,0.7222222222222222,-6,-0.3333333333333333
2025-02-14,1143679,Torre,TH - F2,6,0,6,6,1447.142857142857,6,1,6,0,6,1,6,0,6,1,0,0
2025-02-14,1143679,Torre,TH - F3,6,0,6,6,1058,4,0.6666666666666666,1,1,2,0.3333333333333333,4,0,4,0.6666666666666666,-2,-0.3333333333333333
2025-02-14,1143679,Torre,TH - F4,18,0,18,18,1485.1333333333334,16,0.8888888888888888,12,3,15,0.8333333333333334,14,0,14,0.7777777777777778,1,0.05555555555555558
2025-02-14,1143679,Torre,TH - F5,18,0,18,18,1024.423076923077,16,0.8888888888888888,13,3,16,0.8888888888888888,8,5,13,0.7222222222222222,3,0.16666666666666663
2025-02-14,1161867,Courts at Spring Mill Station,1 Bed 1 Bath,147,0,147,147,522.9377483443709,141,0.9591836734693877,28,51,79,0.5374149659863946,26,45,71,0.48299319727891155,8,0.054421768707483054
2025-02-14,1161867,Courts at Spring Mill Station,1 Bed 1 Bath ADA,4,0,4,4,650.3333333333334,3,0.75,1,0,1,0.25,0,1,1,0.25,0,0
2025-02-14,1161867,Courts at Spring Mill Station,1 Bed 1 Bath Loft,12,0,12,12,373.3333333333333,6,0.5,3,3,6,0.5,5,6,11,0.9166666666666666,-5,-0.41666666666666663
2025-02-14,1161867,Courts at Spring Mill Station,1 Bed 1 Bath w/ Den,31,0,31,31,334.8520689655172,30,0.967741935483871,5,16,21,0.6774193548387096,4,11,15,0.4838709677419355,6,0.19354838709677413
2025-02-14,1161867,Courts at Spring Mill Station,1Bed1.5 Bath w/ Den,3,0,3,3,379.8333333333333,3,1,0,2,2,0.6666666666666666,0,1,1,0.3333333333333333,1,0.3333333333333333
2025-02-14,1161867,Courts at Spring Mill Station,1Bed1Bath Loftw/ Den,3,0,3,3,288.55555555555554,2,0.6666666666666666,1,0,1,0.3333333333333333,2,0,2,0.6666666666666666,-1,-0.3333333333333333
2025-02-14,1161867,Courts at Spring Mill Station,2 Bed 2 Bath,147,0,147,147,482.3660904255319,142,0.9659863945578231,24,44,68,0.46258503401360546,18,43,61,0.41496598639455784,7,0.047619047619047616
2025-02-14,1161867,Courts at Spring Mill Station,2 Bed 2 Bath ADA,4,0,4,4,681.75,2,0.5,0,1,1,0.25,2,1,3,0.75,-2,-0.5
2025-02-14,1161867,Courts at Spring Mill Station,2 Bed 2 Bath Loft,9,0,9,9,478.5,8,0.8888888888888888,1,6,7,0.7777777777777778,3,3,6,0.6666666666666666,1,0.11111111111111116
2025-02-14,1161867,Courts at Spring Mill Station,2 Bed 2 Bath w/ Den,23,0,23,23,425.1938775510204,20,0.8695652173913043,2,11,13,0.5652173913043478,8,5,13,0.5652173913043478,0,0
2025-02-14,1197886,The Caswell at Runnymeade,A1.1,3,0,3,3,644.25,2,0.6666666666666666,2,0,2,0.6666666666666666,3,0,3,1,-1,-0.33333333333333337
2025-02-14,1197886,The Caswell at Runnymeade,A2,4,0,4,4,591.7142857142857,4,1,1,1,2,0.5,1,0,1,0.25,1,0.25
2025-02-14,1197886,The Caswell at Runnymeade,A3,16,0,16,16,521.7619047619048,15,0.9375,4,6,10,0.625,9,0,9,0.5625,1,0.0625
2025-02-14,1197886,The Caswell at Runnymeade,A4,16,0,16,16,619.025641025641,15,0.9375,5,5,10,0.625,10,0,10,0.625,0,0
2025-02-14,1197886,The Caswell at Runnymeade,A5.1,6,0,6,6,496.8235294117647,6,1,1,2,3,0.5,2,0,2,0.3333333333333333,1,0.16666666666666669
2025-02-14,1197886,The Caswell at Runnymeade,A5.2,6,0,6,6,661,6,1,1,1,2,0.3333333333333333,3,0,3,0.5,-1,-0.16666666666666669
2025-02-14,1197886,The Caswell at Runnymeade,A6,4,0,4,4,389,3,0.75,1,0,1,0.25,1,0,1,0.25,0,0
2025-02-14,1197886,The Caswell at Runnymeade,A7,8,0,8,8,646.9130434782609,8,1,1,4,5,0.625,4,0,4,0.5,1,0.125
2025-02-14,1197886,The Caswell at Runnymeade,B1,85,2,83,83,573.7890909090909,73,0.8795180722891566,33,17,50,0.6024096385542169,25,0,25,0.30120481927710846,25,0.30120481927710846
2025-02-14,1197886,The Caswell at Runnymeade,B1.2,7,0,7,7,575.8235294117648,6,0.8571428571428571,2,1,3,0.42857142857142855,1,0,1,0.14285714285714285,2,0.2857142857142857
2025-02-14,1197886,The Caswell at Runnymeade,B2,38,0,38,38,612.6304347826087,31,0.8157894736842105,13,12,25,0.6578947368421053,15,0,15,0.39473684210526316,10,0.26315789473684215
2025-02-14,1197886,The Caswell at Runnymeade,B3.1,4,0,4,4,556.8333333333334,3,0.75,1,0,1,0.25,0,0,0,0,1,0.25
2025-02-14,1197886,The Caswell at Runnymeade,B3.3,2,0,2,2,647.0909090909091,1,0.5,2,0,2,1,1,0,1,0.5,1,0.5
2025-02-14,1197886,The Caswell at Runnymeade,C1,16,0,16,16,584.8275862068965,15,0.9375,7,2,9,0.5625,4,0,4,0.25,5,0.3125
2025-02-14,1197886,The Caswell at Runnymeade,C2,32,0,32,32,659.7165354330708,26,0.8125,10,10,20,0.625,14,0,14,0.4375,6,0.1875
2025-02-14,1197887,The Dean Reno,A1,1,0,1,1,1217.5,0,0,1,0,1,1,1,0,1,1,0,0
2025-02-14,1197887,The Dean Reno,B1,36,0,36,36,698.1228070175439,35,0.9722222222222222,13,18,31,0.8611111111111112,12,8,20,0.5555555555555556,11,0.3055555555555556
2025-02-14,1197887,The Dean Reno,B2,34,0,34,34,730.1,33,0.9705882352941176,12,19,31,0.9117647058823529,14,12,26,0.7647058823529411,5,0.1470588235294118
2025-02-14,1197887,The Dean Reno,C1,3,0,3,3,740,2,0.6666666666666666,0,2,2,0.6666666666666666,0,1,1,0.3333333333333333,1,0.3333333333333333
2025-02-14,1197887,The Dean Reno,D1,180,0,180,180,537.0076045627377,166,0.9222222222222223,88,45,133,0.7388888888888889,41,16,57,0.31666666666666665,76,0.4222222222222223
2025-02-14,1197887,The Dean Reno,D2,140,0,140,140,541.2418300653595,121,0.8642857142857143,31,43,74,0.5285714285714286,23,6,29,0.20714285714285716,45,0.3214285714285714
2025-02-14,1197887,The Dean Reno,D3,64,0,64,64,546.1,56,0.875,14,12,26,0.40625,10,8,18,0.28125,8,0.125
2025-02-14,1197887,The Dean Reno,D4,45,0,45,45,583.695652173913,27,0.6,3,22,25,0.5555555555555556,4,1,5,0.1111111111111111,20,0.4444444444444445
2025-02-14,1197887,The Dean Reno,D5,36,0,36,36,579.7560975609756,31,0.8611111111111112,20,5,25,0.6944444444444444,1,10,11,0.3055555555555556,14,0.38888888888888884
2025-02-14,1197887,The Dean Reno,E1,90,0,90,90,587.5,76,0.8444444444444444,17,18,35,0.3888888888888889,25,11,36,0.4,-1,-0.011111111111111127
2025-02-14,1197887,The Dean Reno,E1 Alt,45,0,45,45,477.7586206896552,33,0.7333333333333333,1,11,12,0.26666666666666666,7,5,12,0.26666666666666666,0,0
2025-02-14,1197887,The Dean Reno,E2,54,0,54,54,518.9583333333334,44,0.8148148148148148,13,16,29,0.5370370370370371,21,15,36,0.6666666666666666,-7,-0.12962962962962954
2025-02-14,1197887,The Dean Reno,E3,45,0,45,45,615.1666666666666,42,0.9333333333333333,15,3,18,0.4,13,5,18,0.4,0,0
2025-02-14,1311849,Venue at North Campus,A,6,0,6,6,800.3333333333334,6,1,0,4,4,0.6666666666666666,0,1,1,0.16666666666666666,3,0.5
2025-02-14,1311849,Venue at North Campus,B,96,0,96,96,443.0091743119266,93,0.96875,4,32,36,0.375,23,32,55,0.5729166666666666,-19,-0.19791666666666663
2025-02-14,1311849,Venue at North Campus,D1,256,0,256,256,350.56435643564356,222,0.8671875,19,46,65,0.25390625,56,78,134,0.5234375,-69,-0.26953125
2025-02-14,1311849,Venue at North Campus,D2,64,0,64,64,370.2413793103448,49,0.765625,0,10,10,0.15625,16,13,29,0.453125,-19,-0.296875
2025-02-14,1311849,Venue at North Campus,D3,192,0,192,192,363.46923076923076,154,0.8020833333333334,6,38,44,0.22916666666666666,29,55,84,0.4375,-40,-0.20833333333333334
2025-02-14,1311849,Venue at North Campus,E,120,0,120,120,401.02649006622516,116,0.9666666666666667,55,57,112,0.9333333333333333,56,43,99,0.825,13,0.10833333333333339
2025-02-14,100064798,The Stretch,2x2,144,0,144,144,652.0434782608696,141,0.9791666666666666,23,41,64,0.4444444444444444,96,47,143,0.9930555555555556,-79,-0.5486111111111112
2025-02-14,100064798,The Stretch,4x4,384,0,384,384,473.9906103286385,369,0.9609375,52,89,141,0.3671875,246,128,374,0.9739583333333334,-233,-0.6067708333333334
