property_id,floorplan_id,floorplan_name
739076,564697,C1
739076,564694,D1 Balcony
739076,564700,B2
739076,564691,B5
739076,564699,B1
739076,564693,M1 Murphy Balcony
739076,564690,S1
739076,564703,D3 Balcony
739076,564701,D1
739076,564702,S2
739076,564692,B3
739076,564698,M1 Murphy
739076,564695,D2
739076,564696,B4
739085,548134,S10
739085,548141,S2
739085,548137,S4
739085,548140,S5
739085,548133,S3
739085,548136,S9
739085,548138,S6
739085,548132,S1
739085,548135,S7
739085,548142,S8
739085,572311,S11
739079,565302,D1
739080,565260,D2
739080,565259,C1
739080,565257,D1
739080,565258,B1
739080,565263,E2 Townhome
739080,565256,C2
739080,565264,D3 Townhome
739080,565262,E1 Townhome
739080,565261,B2
739084,565166,M2 Murphy
739084,565161,A1
739084,565167,D1
739084,565164,M1 Murphy
739084,565163,B2
739084,565165,B3
739084,565162,M1 Murphy Balcony
739084,565168,B1
641240,543898,C1 Study
641240,524194,D1 Balcony
641240,524189,A1
641240,524192,B1 Semi-Shared
641240,524196,D3 Semi-Shared
641240,524191,S2
641240,524193,B1
641240,524195,D3
641240,598786,D2
641240,524190,S1
676055,539728,D2
676055,539729,B3 Townhome
676055,539725,B2
676055,539726,C1
676055,539724,B1
676055,539721,D1
1115679,598557,A8
1115679,598585,A3
1115679,598617,A7
1115679,598555,S1
1115679,598558,B2
1115679,598619,B1
1115679,598579,A1
1115679,598615,A6
1115679,598613,A5
1115679,598607,A4
1115679,598559,C1
1115679,598556,A2
1161867,599080,2 Bed 2 Bath Loft
1161867,599070,1 Bed 1 Bath Loft
1161867,599064,1 Bed 1 Bath ADA
1161867,599068,1Bed1.5 Bath w/ Den
1161867,599076,2 Bed 2 Bath ADA
1161867,599072,1Bed1Bath Loftw/ Den
1161867,599082,2Bed2Bath Loftw/ Den
1161867,599066,1 Bed 1 Bath w/ Den
1161867,599078,2 Bed 2 Bath w/ Den
1161867,599062,1 Bed 1 Bath
1161867,599074,2 Bed 2 Bath
518044,493287,B4
518044,493290,C2
518044,493293,C1
518044,493291,B1
518044,493288,C4
518044,493292,B2
518044,493294,B3
518044,493289,D1
518044,493286,C3
518044,493295,D2
952515,569020,D2
952515,569025,B1
952515,569023,D3
952515,569027,A1
952515,569022,C1
952515,569021,D1
952515,569024,B1 ALT
577897,508698,B1
577897,508706,B3
577897,508700,B1 Loft
577897,508684,A1
577897,508688,A2
577897,508692,A3 Loft
577897,508708,B4
577897,508686,A1 Loft
577897,508690,A3
577897,508694,A4
577897,508710,B5
577897,508696,A5
577897,508704,B2 Loft
577897,508702,B2
577897,510147,A6
518041,492378,B1
518041,492376,A1
518041,492384,D1
518041,492374,A2
518041,492380,B2
518041,492388,D3
518041,492394,B3
518041,488692,Studio
518041,492386,D2
518041,492390,D5
518041,492382,C1
518041,492392,D4
518042,492429,A1
518042,492449,C4
518042,492441,B5
518042,492435,B2
518042,492459,B6
518042,492431,A2
518042,492445,C2
518042,492451,D1
518042,492443,C1
518042,492427,S2
518042,492433,B1
518042,492425,S1
518042,492457,D4
518042,492447,C3
518042,492439,B4
518042,492455,D3
518042,492437,B3
518042,492453,D2
1197886,600287,A5.1
1197886,600286,A7
1197886,600288,A5.2
1197886,600292,B1.2
1197886,600282,A1.2
1197886,600294,B3.3
1197886,600297,C2
1197886,600295,B3.1
1197886,600296,C1
1197886,600285,A4
1197886,600289,A6
1197886,600290,B1
1197886,600291,B2
1197886,600281,A3
1197886,600284,A2
1197886,600283,A1.1
833617,564135,M1
833617,564145,D5
833617,564150,S3 XL
833617,564144,D1
833617,598661,B3 XL
833617,564134,B1
833617,564149,B2
833617,564143,D4
833617,564141,A2 Deluxe
833617,564146,A1
833617,564132,D3
833617,564133,S1
833617,564137,D2
833617,576721,B4 XL
833617,564136,S2
1197887,600086,E2
1197887,600082,B1
1197887,600083,C1
1197887,600079,D5
1197887,600081,E1
1197887,600077,D1
1197887,600076,D4
1197887,600087,D3
1197887,600080,D2
1197887,600342,E1 Alt
1197887,600078,A1
1197887,600084,E3
1197887,600085,B2
518046,493266,A2
518046,493264,D3
518046,493283,E2
518046,493281,E3
518046,493273,D2
518046,493277,F1
518046,493268,B1
518046,493269,B2
518046,493265,A3
518046,493271,C1
518046,493278,B3
518046,493284,S1
518046,493274,E1
518046,493285,A1
518046,493272,D1
100064798,600493,Two Bedroom Loft
100064798,600495,Three Bedroom Loft
100064798,600494,Four Bedroom
100064798,600496,Two Bedroom
1143679,598900,TH - F1
1143679,598852,TH - C2
1143679,598888,TH - D5
1143679,598874,TH - D1
1143679,598806,B2
1143679,598902,TH - F2
1143679,598886,TH - D4 - SEMI-SHARED
1143679,598796,S2
1143679,598866,D2 - SEMI-SHARED
1143679,598868,D3 - SEMI-SHARED
1143679,598909,B9 -  SHARED
1143679,598904,TH - F3
1143679,598856,TH - C3.1
1143679,598816,B5 - SHARED
1143679,598844,C3
1143679,598830,B7 - SEMI-SHARED
1143679,598870,D4 - SEMI-SHARED
1143679,598794,S1
1143679,598800,A1
1143679,598898,TH - E1
1143679,598896,TH - D9
1143679,598842,C2 - SEMI-SHARED
1143679,598824,B6 DELUXE
1143679,598890,TH - D6 - SEMI-SHARED
1143679,598802,A2
1143679,598820,B5.2 DELUXE
1143679,598908,TH - F5
1143679,598862,D1
1143679,598812,B3
1143679,598814,B4
1143679,598854,TH - C3
1143679,598894,TH - D8 - SEMI-SHARED
1143679,598906,TH - F4
1143679,598832,B8 DELUXE
1143679,598880,TH - D2
1143679,598878,TH - D1.2
1143679,598840,C1
1143679,598858,TH - C4
1143679,598884,TH - D3
1143679,598804,B1
1143679,598848,TH - C1
1311849,600379,A
1311849,600375,D3
1311849,600380,B
1311849,600377,D2
1311849,600378,E
1311849,600376,D1
