endpoint,method,used,default,version
status,getStatus,TRUE,TRUE,r1
applications,getCompanyApplications,FALSE,TRUE,r1
applications,sendApplicantGeneralDetails,FALSE,FALSE,r1
applications,sendApplication,FALSE,FALSE,r1
applications,sendApplicationAddOns,FALSE,FALSE,r1
applications,sendApplicationEmployers,FALSE,FALSE,r1
applications,sendApplicationPets,FALSE,FALSE,r1
applications,sendApplicationVehicles,FALSE,FALSE,r1
applications,updateApplication,FALSE,FALSE,r1
arcodes,getArCodes,TRUE,TRUE,r1
arpayments,getArPayments,FALSE,TRUE,r1
artransactions,getArInvoices,FALSE,TRUE,r1
artransactions,getLeaseArTransactions,FALSE,FALSE,r1
artransactions,getMitsLeaseArTransactions,FALSE,FALSE,r1
artransactions,sendLeaseArTransactionReversals,FALSE,FALSE,r1
artransactions,sendLeaseArTransactions,FALSE,FALSE,r1
communications,getMarketingPreferencePickList,FALSE,TRUE,r1
communications,getMarketingPreferences,FALSE,FALSE,r1
customers,getCustomers,TRUE,TRUE,r1
customers,getCustomerTestimonials,FALSE,FALSE,r1
customers,getTestimonialPickLists,FALSE,FALSE,r1
customers,searchCustomers,FALSE,FALSE,r1
customers,sendCustomerTestimonials,FALSE,FALSE,r1
customers,updateCustomers,FALSE,FALSE,r1
customers,updateCustomerTestimonials,FALSE,FALSE,r1
customers,updatePropertyResponse,FALSE,FALSE,r1
financial,getApCodes,TRUE,TRUE,r1
financial,getBankAccounts,FALSE,FALSE,r1
financial,getBudgetActuals,TRUE,FALSE,r1
financial,getBudgets,TRUE,FALSE,r1
financial,getFinancialPickList,FALSE,FALSE,r1
financial,getGlTransactions,FALSE,FALSE,r1
financial,getGlTrees,FALSE,FALSE,r1
financial,getJobCategories,FALSE,FALSE,r1
financial,getJobCostBudgets,FALSE,FALSE,r1
financial,getJobs,FALSE,FALSE,r1
financial,getTransactionTagLists,FALSE,FALSE,r1
financial,markGlTransactionsExported,FALSE,FALSE,r1
financial,sendBudgets,FALSE,FALSE,r1
financial,sendJournalEntries,FALSE,FALSE,r1
financial,updateBudgets,FALSE,FALSE,r1
leads,applyQuote,FALSE,FALSE,r1
leads,generateQuotes,FALSE,FALSE,r1
leads,getLeadEvents,FALSE,FALSE,r1
leads,getLeadPickLists,FALSE,FALSE,r1
leads,getLeads,FALSE,TRUE,r1
leads,getMitsLeads,FALSE,FALSE,r1
leads,getQuotes,FALSE,FALSE,r1
leads,sendLeads,FALSE,FALSE,r1
leads,sendMitsLeads,FALSE,FALSE,r1
leads,updateLeads,FALSE,FALSE,r1
leases,cancelLease,FALSE,FALSE,r1
leases,getEvictedLeases,TRUE,FALSE,r1
leases,getExpiringLeases,TRUE,FALSE,r1
leases,getLeaseDetails,TRUE,FALSE,r2
leases,getLeaseDocuments,FALSE,FALSE,r1
leases,getLeaseDocumentsList,FALSE,FALSE,r1
leases,getLeasePickList,FALSE,FALSE,r1
leases,getLeases,TRUE,TRUE,r2
leases,getMitsCollections,FALSE,FALSE,r1
leases,getMitsLeases,FALSE,FALSE,r1
leases,getParcelAlerts,FALSE,FALSE,r1
leases,getRentersInsurancePolicies,FALSE,FALSE,r1
leases,moveInLease,FALSE,FALSE,r1
leases,moveOutLease,FALSE,FALSE,r1
leases,onNoticeLease,FALSE,FALSE,r1
leases,sendLeaseActivities,FALSE,FALSE,r1
leases,sendLeaseDocuments,FALSE,FALSE,r1
leases,sendLeases,FALSE,FALSE,r1
leases,sendRentersInsurancePolicies,FALSE,FALSE,r1
leases,sendRoommateGroups,FALSE,FALSE,r1
leases,sendScheduledCharges,FALSE,FALSE,r1
leases,updateLease,FALSE,FALSE,r1
leases,updateScheduledCharges,FALSE,FALSE,r1
leasingcenter,getCallLogs,FALSE,TRUE,r1
leasingcenter,getLeasingCenterPickLists,FALSE,FALSE,r1
maintenance,getInspections,FALSE,TRUE,r1
maintenance,getInspectionTemplates,FALSE,FALSE,r1
maintenance,getWorkOrderPickLists,FALSE,FALSE,r1
maintenance,getWorkOrders,FALSE,FALSE,r1
maintenance,sendWorkOrders,FALSE,FALSE,r1
maintenance,updateWorkOrders,FALSE,FALSE,r1
pricing,getPricingPicklists,FALSE,TRUE,r1
pricing,insertPricing,FALSE,FALSE,r1
pricing,sendBudgetedRent,FALSE,FALSE,r1
properties,getAmenityReservations,FALSE,FALSE,r1
properties,getCalendarAvailability,FALSE,FALSE,r1
properties,getFloorPlans,TRUE,FALSE,r1
properties,getPetTypes,FALSE,FALSE,r1
properties,getPhoneNumber,FALSE,FALSE,r1
properties,getProperties,TRUE,TRUE,r1
properties,getPropertyAddOns,TRUE,FALSE,r1
properties,getPropertyAnnouncements,TRUE,FALSE,r1
properties,getPropertyPickLists,FALSE,FALSE,r1
properties,getRentableItems,FALSE,FALSE,r1
properties,getReservableAmenities,FALSE,FALSE,r1
properties,getWebsites,TRUE,FALSE,r1
properties,sendFloorplans,FALSE,FALSE,r1
properties,sendRentableItems,FALSE,FALSE,r1
propertyunits,getAmenities,FALSE,FALSE,r1
propertyunits,getMitsPropertyUnits,TRUE,FALSE,r1
propertyunits,getPropertyUnits,TRUE,TRUE,r1
propertyunits,getSpecials,TRUE,FALSE,r1
propertyunits,getUnitsAvailabilityAndPricing,TRUE,FALSE,r1
propertyunits,getUnitTypes,TRUE,FALSE,r1
propertyunits,sendAmenities,FALSE,FALSE,r1
propertyunits,sendPropertyUnits,FALSE,FALSE,r1
propertyunits,updateAmenities,FALSE,FALSE,r1
queue,getResponse,TRUE,TRUE,r1
reports,getDependentFilter,TRUE,FALSE,r2
reports,getReportData,TRUE,FALSE,r3
reports,getReportInfo,TRUE,FALSE,r2
reports,getReportList,TRUE,TRUE,r1
vendors,getInvoices,FALSE,FALSE,r1
vendors,getPoReceivingRecords,FALSE,FALSE,r1
vendors,getPurchaseOrders,FALSE,FALSE,r1
vendors,getTaxFormData,FALSE,FALSE,r1
vendors,getVendorLocations,FALSE,FALSE,r1
vendors,getVendorPickLists,FALSE,FALSE,r1
vendors,getVendors,FALSE,TRUE,r1
vendors,markInvoicesExported,FALSE,FALSE,r1
vendors,sendInvoices,FALSE,FALSE,r1
vendors,sendPurchaseOrders,FALSE,FALSE,r1
vendors,sendVendors,FALSE,FALSE,r1
vendors,updateInvoices,FALSE,FALSE,r1
vendors,updateVendors,FALSE,FALSE,r1
vendors,voidApPayments,FALSE,FALSE,r1
